2016-11-17 17:28:14,945 INFO:Logging init parameters : {'filename': './GA.log', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filemode': 'w'}
2016-11-17 17:28:14,946 INFO:Model 0 inititalized
2016-11-17 17:28:15,755 INFO:Loading map : ./maps/sample.png [29,30]
2016-11-17 17:29:07,746 INFO:Logging init parameters : {'fileMode': 'w', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filename': './GA.log'}
2016-11-17 17:29:07,746 INFO:Model 0 inititalized
2016-11-17 17:29:08,108 INFO:Loading map : ./maps/sample.png [29,30]
2016-11-17 17:29:08,611 INFO:Adding poi (1, 28)
2016-11-17 17:29:08,611 INFO:Adding poi (2, 28)
2016-11-17 17:29:08,611 INFO:Adding poi (3, 28)
2016-11-17 17:29:08,611 INFO:Adding poi (4, 28)
2016-11-17 17:29:08,611 INFO:Adding poi (13, 1)
2016-11-17 17:29:08,611 INFO:Adding poi (13, 2)
2016-11-17 17:29:08,611 INFO:Adding poi (13, 3)
2016-11-17 17:29:08,612 INFO:Adding poi (14, 1)
2016-11-17 17:29:08,612 INFO:Adding poi (14, 2)
2016-11-17 17:29:08,612 INFO:Adding poi (14, 3)
2016-11-17 17:29:08,612 INFO:Adding poi (15, 1)
2016-11-17 17:29:08,612 INFO:Adding poi (15, 2)
2016-11-17 17:29:08,612 INFO:Adding poi (25, 28)
2016-11-17 17:29:08,612 INFO:Adding poi (26, 28)
2016-11-17 17:29:08,612 INFO:Adding poi (27, 28)
2016-11-17 17:29:08,614 INFO:Waypoints : 1, Coverage 0.161290%
2016-11-17 17:29:08,614 INFO:Waypoints : 2, Coverage 0.322581%
2016-11-17 17:29:08,614 INFO:Waypoints : 3, Coverage 0.483871%
2016-11-17 17:29:08,614 INFO:Waypoints : 4, Coverage 0.645161%
2016-11-17 17:29:08,614 INFO:Waypoints : 5, Coverage 0.806452%
2016-11-17 17:29:08,615 INFO:Waypoints : 6, Coverage 0.967742%
2016-11-17 17:29:08,615 INFO:Waypoints : 7, Coverage 1.129032%
2016-11-17 17:29:08,615 INFO:Waypoints : 8, Coverage 1.290323%
2016-11-17 17:29:08,615 INFO:Waypoints : 9, Coverage 1.451613%
2016-11-17 17:29:08,615 INFO:Waypoints : 10, Coverage 1.612903%
2016-11-17 17:29:08,615 INFO:Waypoints : 11, Coverage 1.774194%
2016-11-17 17:29:08,615 INFO:Waypoints : 12, Coverage 1.935484%
2016-11-17 17:29:08,617 INFO:Waypoints : 13, Coverage 2.096774%
2016-11-17 17:29:08,617 INFO:Waypoints : 14, Coverage 2.258065%
2016-11-17 17:29:08,618 INFO:Waypoints : 15, Coverage 2.419355%
2016-11-17 17:29:08,618 INFO:Waypoints : 16, Coverage 2.580645%
2016-11-17 17:29:08,618 INFO:Waypoints : 17, Coverage 2.741935%
2016-11-17 17:29:08,618 INFO:Waypoints : 18, Coverage 2.903226%
2016-11-17 17:29:08,618 INFO:Waypoints : 19, Coverage 3.064516%
2016-11-17 17:29:08,618 INFO:Waypoints : 20, Coverage 3.225806%
2016-11-17 17:29:08,618 INFO:Waypoints : 21, Coverage 3.387097%
2016-11-17 17:29:08,619 INFO:Waypoints : 22, Coverage 3.548387%
2016-11-17 17:29:08,619 INFO:Waypoints : 23, Coverage 3.709677%
2016-11-17 17:29:08,619 INFO:Waypoints : 24, Coverage 3.870968%
2016-11-17 17:29:08,621 INFO:Waypoints : 25, Coverage 4.032258%
2016-11-17 17:29:08,621 INFO:Waypoints : 26, Coverage 4.193548%
2016-11-17 17:29:08,621 INFO:Waypoints : 27, Coverage 4.354839%
2016-11-17 17:29:08,621 INFO:Waypoints : 28, Coverage 4.516129%
2016-11-17 17:29:08,622 INFO:Waypoints : 28, Coverage 4.516129%
2016-11-17 17:29:08,622 INFO:Waypoints : 29, Coverage 4.677419%
2016-11-17 17:29:08,622 INFO:Waypoints : 30, Coverage 4.838710%
2016-11-17 17:29:08,624 INFO:Waypoints : 31, Coverage 5.000000%
2016-11-17 17:29:08,624 INFO:Waypoints : 32, Coverage 5.161290%
2016-11-17 17:29:08,625 INFO:Waypoints : 33, Coverage 5.322581%
2016-11-17 17:29:08,625 INFO:Waypoints : 34, Coverage 5.483871%
2016-11-17 17:29:08,625 INFO:Waypoints : 34, Coverage 5.483871%
2016-11-17 17:29:08,625 INFO:Waypoints : 35, Coverage 5.645161%
2016-11-17 17:29:08,627 INFO:Waypoints : 36, Coverage 5.806452%
2016-11-17 17:29:08,627 INFO:Waypoints : 37, Coverage 5.967742%
2016-11-17 17:29:08,628 INFO:Waypoints : 38, Coverage 6.129032%
2016-11-17 17:29:08,628 INFO:Waypoints : 39, Coverage 6.290323%
2016-11-17 17:29:08,628 INFO:Waypoints : 40, Coverage 6.451613%
2016-11-17 17:29:08,630 INFO:Waypoints : 41, Coverage 6.612903%
2016-11-17 17:29:08,631 INFO:Waypoints : 42, Coverage 6.774194%
2016-11-17 17:29:08,631 INFO:Waypoints : 43, Coverage 6.935484%
2016-11-17 17:29:08,631 INFO:Waypoints : 44, Coverage 7.096774%
2016-11-17 17:29:08,632 INFO:Waypoints : 45, Coverage 7.258065%
2016-11-17 17:29:08,632 INFO:Waypoints : 46, Coverage 7.419355%
2016-11-17 17:29:08,634 INFO:Waypoints : 47, Coverage 7.580645%
2016-11-17 17:29:08,634 INFO:Waypoints : 48, Coverage 7.741935%
2016-11-17 17:29:08,634 INFO:Waypoints : 49, Coverage 7.903226%
2016-11-17 17:29:08,635 INFO:Waypoints : 49, Coverage 7.903226%
2016-11-17 17:29:08,637 INFO:Waypoints : 50, Coverage 8.064516%
2016-11-17 17:29:08,638 INFO:Waypoints : 50, Coverage 8.064516%
2016-11-17 17:29:08,638 INFO:Waypoints : 51, Coverage 8.225806%
2016-11-17 17:29:08,638 INFO:Waypoints : 52, Coverage 8.387097%
2016-11-17 17:29:08,640 INFO:Waypoints : 53, Coverage 8.548387%
2016-11-17 17:29:08,641 INFO:Waypoints : 54, Coverage 8.709677%
2016-11-17 17:29:08,641 INFO:Waypoints : 55, Coverage 8.870968%
2016-11-17 17:29:08,641 INFO:Waypoints : 56, Coverage 9.032258%
2016-11-17 17:29:08,642 INFO:Waypoints : 57, Coverage 9.193548%
2016-11-17 17:29:08,644 INFO:Waypoints : 57, Coverage 9.193548%
2016-11-17 17:29:08,644 INFO:Waypoints : 58, Coverage 9.354839%
2016-11-17 17:29:08,645 INFO:Waypoints : 59, Coverage 9.516129%
2016-11-17 17:29:08,647 INFO:Waypoints : 60, Coverage 9.677419%
2016-11-17 17:29:08,648 INFO:Waypoints : 61, Coverage 9.838710%
2016-11-17 17:29:08,648 INFO:Waypoints : 62, Coverage 10.000000%
2016-11-17 17:29:08,650 INFO:Waypoints : 63, Coverage 10.161290%
2016-11-17 17:29:08,651 INFO:Waypoints : 64, Coverage 10.322581%
2016-11-17 17:29:08,651 INFO:Waypoints : 64, Coverage 10.322581%
2016-11-17 17:29:08,653 INFO:Waypoints : 65, Coverage 10.483871%
2016-11-17 17:29:08,653 INFO:Waypoints : 66, Coverage 10.645161%
2016-11-17 17:29:08,654 INFO:Waypoints : 67, Coverage 10.806452%
2016-11-17 17:29:08,654 INFO:Waypoints : 68, Coverage 10.967742%
2016-11-17 17:29:08,655 INFO:Waypoints : 69, Coverage 11.129032%
2016-11-17 17:29:08,657 INFO:Waypoints : 70, Coverage 11.290323%
2016-11-17 17:29:08,657 INFO:Waypoints : 70, Coverage 11.290323%
2016-11-17 17:29:08,660 INFO:Waypoints : 71, Coverage 11.451613%
