steps, health, gold, time, win
618, -86, 50, 345, 0
659, -34, 30, 384, 0
261, -43, 30, 143, 0
193, -7, 50, 107, 0
331, -83, 30, 183, 0
473, 39, 230, 262, 1
1065, 2232, 660, 590, 1
206, -11, 80, 111, 0
334, -75, 170, 175, 0
538, -1, 240, 301, 0
316, -66, 20, 166, 0
728, -1, 230, 409, 0
333, -83, 60, 184, 0
313, -79, 0, 179, 0
574, -41, 130, 341, 0
234, -30, 0, 130, 0
509, -99, 0, 299, 0
213, -10, 60, 110, 0
345, -84, 0, 184, 0
481, -79, 40, 279, 0
428, -34, 430, 234, 0
402, -33, 50, 233, 0
359, -97, 130, 197, 0
241, -33, 20, 133, 0
254, -37, 10, 137, 0
113, -58, 0, 58, 0
152, -84, 0, 84, 0
299, -63, 150, 163, 0
159, -88, 0, 88, 0
394, -28, 40, 228, 0
244, -36, 0, 136, 0
494, -79, 30, 279, 0
286, -55, 170, 155, 0
94, -48, 0, 48, 0
434, -41, 70, 241, 0
383, -10, 160, 210, 0
287, -55, 0, 155, 0
119, -68, 0, 68, 0
340, -92, 10, 192, 0
248, -35, 0, 135, 0
172, -89, 0, 89, 0
234, -33, 80, 133, 0
311, -69, 310, 169, 0
298, -62, 0, 162, 0
333, -84, 0, 184, 0
298, -13, 90, 163, 0
348, -93, 0, 193, 0
284, -56, 0, 156, 0
185, -97, 0, 97, 0
107, -56, 0, 56, 0
317, -77, 10, 177, 0
293, -60, 0, 160, 0
220, -22, 30, 122, 0
385, -16, 120, 216, 0
841, -42, 110, 492, 0
252, -35, 0, 135, 0
620, 1359, 380, 351, 1
430, -14, 270, 228, 0
84, -44, 0, 44, 0
506, 226, 410, 275, 1
311, -67, 20, 167, 0
1016, -87, 440, 600, 0
133, -69, 0, 69, 0
170, -89, 0, 89, 0
343, -90, 70, 190, 0
199, -7, 0, 107, 0
122, -67, 0, 67, 0
120, -66, 0, 66, 0
190, -1, 0, 101, 0
351, -90, 0, 190, 0
279, -56, 90, 156, 0
88, -50, 0, 50, 0
905, 2681, 110, 520, 1
296, -70, 50, 170, 0
373, -15, 40, 215, 0
649, 2603, 140, 354, 1
294, -71, 10, 171, 0
137, -71, 0, 71, 0
539, -101, 110, 301, 0
675, -101, 50, 401, 0
326, -74, 10, 174, 0
1600, 524, 150, 943, 1
506, -79, 160, 279, 0
297, -61, 40, 161, 0
164, -91, 0, 91, 0
234, -27, 0, 127, 0
131, -69, 0, 69, 0
846, -100, 170, 500, 0
242, -32, 0, 132, 0
457, 496, 190, 258, 1
168, -92, 0, 92, 0
113, -63, 0, 63, 0
890, 1305, 140, 509, 1
271, -44, 0, 144, 0
186, -1, 20, 101, 0
269, -47, 10, 147, 0
1198, 2357, 610, 699, 1
222, -22, 0, 122, 0
315, -73, 0, 173, 0
177, -1, 0, 101, 0
317, -80, 0, 180, 0
573, -27, 20, 328, 0
501, -75, 20, 275, 0
593, -55, 280, 337, 0
734, 1856, 290, 405, 1
89, -47, 0, 47, 0
298, -67, 120, 167, 0
620, 56, 430, 351, 1
382, -9, 50, 209, 0
232, -74, 40, 124, 0
267, -54, 50, 154, 0
551, 1107, 130, 296, 1
647, -78, 20, 378, 0
336, -87, 160, 187, 0
114, -62, 0, 62, 0
223, -28, 0, 128, 0
625, 117, 500, 338, 1
