2016-11-16 11:00:28,572 INFO:Logging init parameters : {'fileMode': 'w', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filename': './GA.log'}
2016-11-16 11:00:28,572 INFO:Model 0 inititalized
2016-11-16 11:00:28,588 INFO:Loading map : ./maps/sample.png [29,30]
2016-11-16 11:00:28,730 INFO:Adding poi (25, 28)
2016-11-16 11:00:28,730 INFO:Adding poi (26, 1)
2016-11-16 11:00:28,730 INFO:Adding poi (26, 28)
2016-11-16 11:00:28,730 INFO:Adding poi (27, 1)
2016-11-16 11:00:28,730 INFO:Adding poi (27, 28)
2016-11-16 11:00:28,732 INFO:Waypoints : 1, Coverage 0.000000%
2016-11-16 11:00:28,733 INFO:Waypoints : 2, Coverage 0.000000%
2016-11-16 11:00:28,733 INFO:Waypoints : 3, Coverage 0.321543%
2016-11-16 11:00:28,734 INFO:Waypoints : 4, Coverage 0.643087%
2016-11-16 11:00:28,736 INFO:Waypoints : 5, Coverage 0.803859%
2016-11-16 11:00:28,736 INFO:Waypoints : 6, Coverage 0.803859%
2016-11-16 11:00:28,737 INFO:Waypoints : 7, Coverage 0.803859%
2016-11-16 11:00:28,740 INFO:Waypoints : 8, Coverage 1.929260%
2016-11-16 11:00:28,740 INFO:Waypoints : 9, Coverage 3.215434%
2016-11-16 11:00:28,743 INFO:Waypoints : 10, Coverage 4.340836%
2016-11-16 11:00:28,743 INFO:Waypoints : 11, Coverage 4.340836%
2016-11-16 11:00:28,744 INFO:Waypoints : 12, Coverage 5.787781%
2016-11-16 11:00:28,750 INFO:Waypoints : 13, Coverage 9.646302%
2016-11-16 11:00:28,755 INFO:Waypoints : 14, Coverage 12.861736%
2016-11-16 11:00:28,756 INFO:Waypoints : 15, Coverage 14.630225%
2016-11-16 11:00:28,760 INFO:Waypoints : 16, Coverage 16.398714%
2016-11-16 11:00:28,762 INFO:Waypoints : 17, Coverage 16.398714%
2016-11-16 11:00:28,763 INFO:Waypoints : 18, Coverage 16.881029%
2016-11-16 11:00:28,766 INFO:Waypoints : 19, Coverage 17.202572%
2016-11-16 11:00:28,766 INFO:Waypoints : 20, Coverage 18.006431%
2016-11-16 11:00:28,770 INFO:Waypoints : 21, Coverage 18.006431%
2016-11-16 11:00:28,773 INFO:Waypoints : 22, Coverage 20.257235%
2016-11-16 11:00:28,773 INFO:Waypoints : 23, Coverage 20.900322%
2016-11-16 11:00:28,776 INFO:Waypoints : 24, Coverage 21.543408%
2016-11-16 11:00:28,786 INFO:Waypoints : 25, Coverage 23.633441%
2016-11-16 11:00:28,788 INFO:Waypoints : 26, Coverage 24.437299%
2016-11-16 11:00:28,790 INFO:Waypoints : 27, Coverage 24.758842%
2016-11-16 11:00:28,792 INFO:Waypoints : 28, Coverage 25.723473%
2016-11-16 11:00:28,795 INFO:Waypoints : 29, Coverage 27.009646%
2016-11-16 11:00:28,799 INFO:Waypoints : 30, Coverage 28.135048%
2016-11-16 11:00:28,801 INFO:Waypoints : 31, Coverage 28.135048%
2016-11-16 11:00:28,805 INFO:Waypoints : 32, Coverage 31.189711%
2016-11-16 11:00:28,809 INFO:Waypoints : 33, Coverage 33.279743%
2016-11-16 11:00:28,812 INFO:Waypoints : 34, Coverage 33.922830%
2016-11-16 11:00:28,816 INFO:Waypoints : 35, Coverage 37.299035%
2016-11-16 11:00:28,821 INFO:Waypoints : 36, Coverage 37.781350%
2016-11-16 11:00:28,825 INFO:Waypoints : 37, Coverage 39.549839%
2016-11-16 11:00:28,838 INFO:Waypoints : 38, Coverage 40.836013%
2016-11-16 11:00:28,848 INFO:Waypoints : 39, Coverage 42.604502%
2016-11-16 11:00:28,851 INFO:Waypoints : 40, Coverage 43.247588%
2016-11-16 11:00:28,855 INFO:Waypoints : 41, Coverage 43.408360%
2016-11-16 11:00:28,858 INFO:Waypoints : 42, Coverage 45.819936%
2016-11-16 11:00:28,864 INFO:Waypoints : 43, Coverage 47.909968%
2016-11-16 11:00:28,872 INFO:Waypoints : 44, Coverage 47.909968%
2016-11-16 11:00:28,881 INFO:Waypoints : 44, Coverage 47.909968%
2016-11-16 11:00:28,885 INFO:Waypoints : 45, Coverage 48.070740%
2016-11-16 11:00:28,890 INFO:Waypoints : 46, Coverage 48.231511%
2016-11-16 11:00:28,891 INFO:Waypoints : 47, Coverage 49.356913%
2016-11-16 11:00:28,894 INFO:Waypoints : 48, Coverage 50.482315%
2016-11-16 11:00:28,898 INFO:Waypoints : 49, Coverage 50.482315%
2016-11-16 11:00:28,903 INFO:Waypoints : 50, Coverage 51.929260%
2016-11-16 11:00:28,905 INFO:Waypoints : 51, Coverage 51.929260%
2016-11-16 11:00:28,911 INFO:Waypoints : 52, Coverage 52.250804%
2016-11-16 11:00:28,914 INFO:Waypoints : 52, Coverage 52.250804%
2016-11-16 11:00:28,924 INFO:Waypoints : 53, Coverage 54.983923%
2016-11-16 11:00:28,930 INFO:Waypoints : 54, Coverage 54.983923%
2016-11-16 11:00:28,937 INFO:Waypoints : 55, Coverage 55.948553%
2016-11-16 11:00:28,940 INFO:Waypoints : 56, Coverage 56.270096%
2016-11-16 11:00:28,946 INFO:Waypoints : 57, Coverage 56.591640%
2016-11-16 11:00:28,953 INFO:Waypoints : 58, Coverage 58.520900%
2016-11-16 11:00:28,959 INFO:Waypoints : 59, Coverage 59.003215%
2016-11-16 11:00:28,967 INFO:Waypoints : 60, Coverage 59.324759%
2016-11-16 11:00:28,973 INFO:Waypoints : 61, Coverage 59.967846%
2016-11-16 11:00:28,976 INFO:Waypoints : 62, Coverage 61.414791%
2016-11-16 11:00:28,982 INFO:Waypoints : 63, Coverage 61.414791%
2016-11-16 11:00:28,987 INFO:Waypoints : 63, Coverage 61.414791%
2016-11-16 11:00:28,993 INFO:Waypoints : 63, Coverage 61.414791%
2016-11-16 11:00:29,006 INFO:Waypoints : 64, Coverage 61.575563%
2016-11-16 11:00:29,019 INFO:Waypoints : 65, Coverage 61.736334%
2016-11-16 11:00:29,026 INFO:Waypoints : 66, Coverage 62.057878%
2016-11-16 11:00:29,032 INFO:Waypoints : 67, Coverage 62.057878%
2016-11-16 11:00:29,035 INFO:Waypoints : 68, Coverage 62.057878%
2016-11-16 11:00:29,052 INFO:Waypoints : 69, Coverage 64.308682%
2016-11-16 11:00:29,056 INFO:Waypoints : 69, Coverage 64.308682%
2016-11-16 11:00:29,059 INFO:Waypoints : 70, Coverage 65.434084%
2016-11-16 11:00:29,063 INFO:Waypoints : 71, Coverage 65.434084%
2016-11-16 11:00:29,069 INFO:Waypoints : 72, Coverage 66.398714%
2016-11-16 11:00:29,075 INFO:Waypoints : 73, Coverage 66.398714%
2016-11-16 11:00:29,081 INFO:Waypoints : 74, Coverage 66.881029%
2016-11-16 11:00:29,095 INFO:Waypoints : 75, Coverage 69.453376%
2016-11-16 11:00:29,111 INFO:Waypoints : 76, Coverage 70.418006%
2016-11-16 11:00:29,118 INFO:Waypoints : 77, Coverage 70.578778%
2016-11-16 11:00:29,125 INFO:Waypoints : 78, Coverage 72.668810%
2016-11-16 11:00:29,134 INFO:Waypoints : 79, Coverage 72.829582%
2016-11-16 11:00:29,144 INFO:Waypoints : 80, Coverage 73.472669%
2016-11-16 11:00:29,160 INFO:Waypoints : 81, Coverage 73.954984%
2016-11-16 11:00:29,168 INFO:Waypoints : 82, Coverage 73.954984%
2016-11-16 11:00:29,177 INFO:Waypoints : 83, Coverage 77.652733%
2016-11-16 11:00:29,193 INFO:Waypoints : 84, Coverage 78.135048%
2016-11-16 11:00:29,200 INFO:Waypoints : 85, Coverage 79.581994%
2016-11-16 11:00:29,203 INFO:Waypoints : 86, Coverage 79.581994%
2016-11-16 11:00:29,207 INFO:Waypoints : 87, Coverage 79.903537%
2016-11-16 11:00:29,214 INFO:Waypoints : 88, Coverage 79.903537%
2016-11-16 11:00:29,223 INFO:Waypoints : 89, Coverage 80.385852%
2016-11-16 11:00:51,884 INFO:Logging init parameters : {'fileMode': 'w', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filename': './GA.log'}
2016-11-16 11:00:51,884 INFO:Model 0 inititalized
2016-11-16 11:00:51,904 INFO:Loading map : ./maps/sample.png [29,30]
2016-11-16 11:00:52,049 INFO:Adding poi (25, 28)
2016-11-16 11:00:52,049 INFO:Adding poi (26, 1)
2016-11-16 11:00:52,049 INFO:Adding poi (26, 28)
2016-11-16 11:00:52,049 INFO:Adding poi (27, 1)
2016-11-16 11:00:52,049 INFO:Adding poi (27, 28)
2016-11-16 11:00:52,049 INFO:Waypoints : 1, Coverage 0.000000%
2016-11-16 11:00:52,051 INFO:Waypoints : 2, Coverage 0.000000%
2016-11-16 11:00:52,052 INFO:Waypoints : 3, Coverage 0.321543%
2016-11-16 11:00:52,052 INFO:Waypoints : 4, Coverage 0.643087%
2016-11-16 11:00:52,052 INFO:Waypoints : 5, Coverage 0.803859%
2016-11-16 11:00:52,053 INFO:Waypoints : 6, Coverage 0.803859%
2016-11-16 11:00:52,055 INFO:Waypoints : 7, Coverage 1.929260%
2016-11-16 11:00:52,056 INFO:Waypoints : 8, Coverage 1.929260%
2016-11-16 11:00:52,056 INFO:Waypoints : 9, Coverage 1.929260%
2016-11-16 11:00:52,058 INFO:Waypoints : 10, Coverage 1.929260%
2016-11-16 11:00:52,059 INFO:Waypoints : 11, Coverage 3.697749%
2016-11-16 11:00:52,061 INFO:Waypoints : 12, Coverage 4.983923%
2016-11-16 11:00:52,062 INFO:Waypoints : 13, Coverage 4.983923%
2016-11-16 11:00:52,062 INFO:Waypoints : 14, Coverage 4.983923%
2016-11-16 11:00:52,063 INFO:Waypoints : 15, Coverage 5.466238%
2016-11-16 11:00:52,065 INFO:Waypoints : 16, Coverage 5.787781%
2016-11-16 11:00:52,069 INFO:Waypoints : 17, Coverage 10.450161%
2016-11-16 11:00:52,072 INFO:Waypoints : 18, Coverage 11.575563%
2016-11-16 11:00:52,082 INFO:Waypoints : 19, Coverage 14.630225%
2016-11-16 11:00:52,091 INFO:Waypoints : 20, Coverage 16.720257%
2016-11-16 11:00:52,092 INFO:Waypoints : 21, Coverage 17.684887%
2016-11-16 11:00:52,094 INFO:Waypoints : 22, Coverage 18.649518%
2016-11-16 11:00:52,101 INFO:Waypoints : 23, Coverage 21.221865%
2016-11-16 11:00:52,105 INFO:Waypoints : 24, Coverage 23.151125%
2016-11-16 11:00:52,107 INFO:Waypoints : 25, Coverage 25.401929%
2016-11-16 11:00:52,108 INFO:Waypoints : 26, Coverage 27.009646%
2016-11-16 11:00:52,111 INFO:Waypoints : 27, Coverage 27.491961%
2016-11-16 11:00:52,114 INFO:Waypoints : 28, Coverage 30.868167%
2016-11-16 11:00:52,121 INFO:Waypoints : 29, Coverage 31.672026%
2016-11-16 11:00:52,124 INFO:Waypoints : 30, Coverage 32.475884%
2016-11-16 11:00:52,128 INFO:Waypoints : 31, Coverage 33.601286%
2016-11-16 11:00:52,131 INFO:Waypoints : 32, Coverage 34.244373%
2016-11-16 11:00:52,134 INFO:Waypoints : 33, Coverage 36.655949%
2016-11-16 11:00:52,141 INFO:Waypoints : 34, Coverage 38.424437%
2016-11-16 11:00:52,145 INFO:Waypoints : 35, Coverage 40.836013%
2016-11-16 11:00:52,154 INFO:Waypoints : 36, Coverage 42.926045%
2016-11-16 11:00:52,157 INFO:Waypoints : 37, Coverage 42.926045%
2016-11-16 11:00:52,161 INFO:Waypoints : 38, Coverage 45.016077%
2016-11-16 11:00:52,168 INFO:Waypoints : 39, Coverage 46.302251%
2016-11-16 11:00:52,171 INFO:Waypoints : 40, Coverage 46.945338%
2016-11-16 11:00:52,178 INFO:Waypoints : 41, Coverage 51.125402%
2016-11-16 11:00:52,181 INFO:Waypoints : 42, Coverage 51.125402%
2016-11-16 11:00:52,190 INFO:Waypoints : 43, Coverage 52.893891%
2016-11-16 11:00:52,197 INFO:Waypoints : 44, Coverage 54.180064%
2016-11-16 11:00:52,211 INFO:Waypoints : 45, Coverage 57.073955%
2016-11-16 11:00:52,220 INFO:Waypoints : 46, Coverage 57.877814%
2016-11-16 11:00:52,226 INFO:Waypoints : 47, Coverage 58.842444%
2016-11-16 11:00:52,232 INFO:Waypoints : 48, Coverage 59.003215%
2016-11-16 11:00:52,240 INFO:Waypoints : 49, Coverage 61.736334%
2016-11-16 11:00:52,246 INFO:Waypoints : 49, Coverage 61.736334%
2016-11-16 11:00:52,259 INFO:Waypoints : 50, Coverage 63.022508%
2016-11-16 11:00:52,273 INFO:Waypoints : 51, Coverage 63.826367%
2016-11-16 11:00:52,283 INFO:Waypoints : 52, Coverage 64.147910%
2016-11-16 11:00:52,289 INFO:Waypoints : 53, Coverage 65.273312%
2016-11-16 11:00:52,302 INFO:Waypoints : 54, Coverage 66.077170%
2016-11-16 11:00:52,312 INFO:Waypoints : 55, Coverage 68.327974%
2016-11-16 11:00:52,319 INFO:Waypoints : 56, Coverage 68.649518%
2016-11-16 11:00:52,331 INFO:Waypoints : 56, Coverage 68.649518%
2016-11-16 11:00:52,336 INFO:Waypoints : 57, Coverage 68.649518%
2016-11-16 11:00:52,342 INFO:Waypoints : 58, Coverage 68.649518%
2016-11-16 11:00:52,354 INFO:Waypoints : 59, Coverage 68.810289%
2016-11-16 11:00:52,364 INFO:Waypoints : 60, Coverage 69.935691%
2016-11-16 11:00:52,368 INFO:Waypoints : 61, Coverage 69.935691%
2016-11-16 11:00:52,380 INFO:Waypoints : 62, Coverage 69.935691%
2016-11-16 11:00:52,390 INFO:Waypoints : 63, Coverage 70.418006%
2016-11-16 11:00:52,392 INFO:Waypoints : 64, Coverage 70.578778%
2016-11-16 11:00:52,403 INFO:Waypoints : 64, Coverage 70.578778%
2016-11-16 11:00:52,411 INFO:Waypoints : 65, Coverage 70.900322%
2016-11-16 11:00:52,421 INFO:Waypoints : 66, Coverage 71.221865%
2016-11-16 11:00:52,430 INFO:Waypoints : 67, Coverage 71.221865%
2016-11-16 11:00:52,448 INFO:Waypoints : 68, Coverage 71.221865%
2016-11-16 11:00:52,451 INFO:Waypoints : 69, Coverage 71.864952%
2016-11-16 11:00:52,457 INFO:Waypoints : 70, Coverage 72.025723%
2016-11-16 11:00:52,461 INFO:Waypoints : 71, Coverage 72.508039%
2016-11-16 11:00:52,469 INFO:Waypoints : 71, Coverage 72.508039%
2016-11-16 11:00:52,482 INFO:Waypoints : 72, Coverage 72.668810%
2016-11-16 11:00:52,496 INFO:Waypoints : 72, Coverage 72.668810%
2016-11-16 11:00:52,506 INFO:Waypoints : 73, Coverage 74.598071%
2016-11-16 11:00:52,512 INFO:Waypoints : 74, Coverage 74.919614%
2016-11-16 11:00:52,519 INFO:Waypoints : 75, Coverage 74.919614%
2016-11-16 11:00:52,525 INFO:Waypoints : 76, Coverage 76.688103%
2016-11-16 11:00:52,532 INFO:Waypoints : 77, Coverage 76.848875%
2016-11-16 11:00:52,536 INFO:Waypoints : 78, Coverage 77.009646%
2016-11-16 11:00:52,548 INFO:Waypoints : 79, Coverage 77.170418%
2016-11-16 11:00:52,562 INFO:Waypoints : 80, Coverage 77.170418%
2016-11-16 11:00:52,572 INFO:Waypoints : 81, Coverage 77.170418%
2016-11-16 11:00:52,584 INFO:Waypoints : 82, Coverage 77.170418%
2016-11-16 11:00:52,595 INFO:Waypoints : 83, Coverage 77.170418%
2016-11-16 11:00:52,599 INFO:Waypoints : 84, Coverage 77.491961%
2016-11-16 11:00:52,614 INFO:Waypoints : 85, Coverage 77.652733%
2016-11-16 11:00:52,621 INFO:Waypoints : 86, Coverage 77.652733%
2016-11-16 11:00:52,637 INFO:Waypoints : 87, Coverage 77.652733%
2016-11-16 11:00:52,651 INFO:Waypoints : 88, Coverage 78.135048%
2016-11-16 11:00:52,655 INFO:Waypoints : 88, Coverage 78.135048%
2016-11-16 11:00:52,664 INFO:Waypoints : 89, Coverage 78.135048%
2016-11-16 11:00:52,667 INFO:Waypoints : 90, Coverage 78.135048%
2016-11-16 11:00:52,680 INFO:Waypoints : 91, Coverage 78.938907%
2016-11-16 11:00:52,690 INFO:Waypoints : 92, Coverage 79.099678%
2016-11-16 11:00:52,696 INFO:Waypoints : 93, Coverage 79.421222%
2016-11-16 11:00:52,710 INFO:Waypoints : 93, Coverage 79.421222%
2016-11-16 11:00:52,717 INFO:Waypoints : 94, Coverage 79.421222%
2016-11-16 11:00:52,732 INFO:Waypoints : 95, Coverage 79.581994%
2016-11-16 11:00:52,736 INFO:Waypoints : 96, Coverage 80.225080%
2016-11-16 11:00:52,776 INFO:paths generated : 200
2016-11-16 11:00:53,128 INFO:====GENERATION 1====
2016-11-16 11:00:53,128 INFO:Fitness 0, Score {'steps': 704, 'alive': 1, 'health': 646, 'goal': 0, 'gold': 15} 
2016-11-16 11:01:28,405 INFO:Logging init parameters : {'fileMode': 'w', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filename': './GA.log'}
2016-11-16 11:01:28,405 INFO:Model 0 inititalized
2016-11-16 11:01:28,424 INFO:Loading map : ./maps/sample.png [29,30]
2016-11-16 11:01:28,565 INFO:Adding poi (25, 28)
2016-11-16 11:01:28,565 INFO:Adding poi (26, 1)
2016-11-16 11:01:28,565 INFO:Adding poi (26, 28)
